dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
284054400,1979-01-01 16:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,28.58,,26.8,23.25,27.12,29.88,1029,,,92,4.81,194,,,,,,0,800,Clear,sky is clear,01n
284058000,1979-01-01 17:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,27.97,,26.19,22.32,26.47,29.28,1029,,,92,5.03,194,,,,,,0,800,Clear,sky is clear,01n
284061600,1979-01-01 18:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,27.99,,26.2,22.37,26.4,29.41,1028,,,92,4.99,195,,,,,,0,800,Clear,sky is clear,01n
284065200,1979-01-01 19:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,27.79,,26.01,21.99,26.13,29.23,1028,,,92,5.14,199,,,,,,0,800,Clear,sky is clear,01n
284068800,1979-01-01 20:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,27.61,,25.83,21.9,25.95,29.12,1027,,,92,5.01,201,,,,,,0,800,Clear,sky is clear,01n
284072400,1979-01-01 21:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,27.48,,26.15,21.78,25.95,28.98,1027,,,94,4.99,198,,,,,,0,800,Clear,sky is clear,01n
284076000,1979-01-01 22:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,24.84,,23.52,18.79,23.67,26.11,1027,,,94,4.88,199,,,,,,0,800,Clear,sky is clear,01n
284079600,1979-01-01 23:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,24.87,,23.56,18.39,23.81,26.04,1027,,,94,5.3,207,,,,,,1,800,Clear,sky is clear,01n
284083200,1979-01-02 00:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,25.23,,24.15,19.85,24.03,26.49,1028,,,95,4.34,207,,,,,,4,800,Clear,sky is clear,01d
284086800,1979-01-02 01:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,26.8,,25.25,20.44,25.86,27.84,1028,,,93,5.55,202,,,,,,1,800,Clear,sky is clear,01d
284090400,1979-01-02 02:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,30.7,,28.67,25.38,30.02,31.26,1028,,,91,5.19,199,,,,,,0,800,Clear,sky is clear,01d
284094000,1979-01-02 03:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,48.22,,33.28,45.54,47.59,48.6,1027,,,56,6.02,206,,,,,,0,800,Clear,sky is clear,01d
284097600,1979-01-02 04:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,48.6,,33.19,45.79,48.04,49.14,1026,,,55,6.4,215,,,,,,0,800,Clear,sky is clear,01d
284101200,1979-01-02 05:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,48.96,,33.06,46.15,48.47,49.53,1025,,,54,6.55,222,,,,,,0,800,Clear,sky is clear,01d
284104800,1979-01-02 06:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,49.35,,32.49,46.67,48.99,49.91,1023,,,52,6.44,224,,,,,,0,800,Clear,sky is clear,01d
284108400,1979-01-02 07:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,49.62,,32.25,47.05,49.33,50.18,1023,,,51,6.33,222,,,,,,0,800,Clear,sky is clear,01d
284112000,1979-01-02 08:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,49.55,,32.67,47.75,49.21,50.13,1023,,,52,4.9,215,,,,,,0,800,Clear,sky is clear,01d
284115600,1979-01-02 09:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,42.28,,35.28,38.43,41.41,43.92,1023,,,76,6.08,196,,,,,,0,800,Clear,sky is clear,01d
284119200,1979-01-02 10:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,38.26,,32.95,33.89,37.47,39.7,1022,,,81,5.7,196,,,,,,0,800,Clear,sky is clear,01n
284122800,1979-01-02 11:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,38.75,,33.12,34.92,37.81,40.14,1022,,,80,5.12,200,,,,,,0,800,Clear,sky is clear,01n
284126400,1979-01-02 12:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,38.66,,33.35,34.86,37.8,40.01,1023,,,81,5.06,205,,,,,,0,800,Clear,sky is clear,01n
284130000,1979-01-02 13:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,38.44,,32.83,34.56,37.47,39.87,1023,,,80,5.12,216,,,,,,0,800,Clear,sky is clear,01n
284133600,1979-01-02 14:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,37.65,,32.05,33.46,36.97,38.7,1023,,,80,5.32,226,,,,,,0,800,Clear,sky is clear,01n
284137200,1979-01-02 15:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,31.82,,29.53,26.29,31.51,32.41,1023,,,90,5.66,236,,,,,,0,800,Clear,sky is clear,01n
284140800,1979-01-02 16:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,32.09,,29.55,26.33,31.71,32.38,1022,,,89,6.02,246,,,,,,0,800,Clear,sky is clear,01n
284144400,1979-01-02 17:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,32.25,,29.44,26.29,31.68,32.76,1022,,,88,6.31,256,,,,,,0,800,Clear,sky is clear,01n
284148000,1979-01-02 18:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,32.59,,29.25,26.29,32.04,33.4,1022,,,86,6.89,263,,,,,,0,800,Clear,sky is clear,01n
284151600,1979-01-02 19:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,33.01,,29.35,26.53,32.31,34.03,1022,,,85,7.27,267,,,,,,0,800,Clear,sky is clear,01n
284155200,1979-01-02 20:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,33.76,,29.23,27.27,32.81,34.83,1021,,,82,7.56,271,,,,,,0,800,Clear,sky is clear,01n
284158800,1979-01-02 21:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,32.25,,27.66,25.39,31.1,33.3,1021,,,81,7.63,273,,,,,,0,800,Clear,sky is clear,01n
284162400,1979-01-02 22:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,32.02,,26.65,24.91,30.34,33.19,1021,,,78,7.94,274,,,,,,0,800,Clear,sky is clear,01n
284166000,1979-01-02 23:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,32.32,,26.64,25.21,30.52,33.57,1021,,,77,8.03,276,,,,,,0,800,Clear,sky is clear,01n
284169600,1979-01-03 00:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,32.43,,26.73,25.29,30.83,33.71,1021,,,77,8.14,274,,,,,,0,800,Clear,sky is clear,01d
284173200,1979-01-03 01:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,32.95,,26.91,25.36,32.22,34.3,1021,,,76,9.13,273,,,,,,0,800,Clear,sky is clear,01d
284176800,1979-01-03 02:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,35.28,,28.31,28.53,34.65,36.59,1022,,,74,8.55,272,,,,,,0,800,Clear,sky is clear,01d
284180400,1979-01-03 03:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,55.33,,30.96,52.39,54.46,56.66,1021,,,39,9.17,273,,,,,,0,800,Clear,sky is clear,01d
284184000,1979-01-03 04:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,56.14,,31.03,53.24,55.27,57.2,1020,,,38,9.55,273,,,,,,0,800,Clear,sky is clear,01d
284187600,1979-01-03 05:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,55.74,,31.28,52.84,54.9,56.64,1019,,,39,9.66,271,,,,,,0,800,Clear,sky is clear,01d
284191200,1979-01-03 06:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,55.42,,30.47,52.45,54.57,56.48,1017,,,38,9.4,268,,,,,,0,800,Clear,sky is clear,01d
284194800,1979-01-03 07:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,55.8,,30.76,52.86,54.91,56.98,1017,,,38,9.04,267,,,,,,0,800,Clear,sky is clear,01d
284198400,1979-01-03 08:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,54.95,,31.21,52.02,54.21,55.99,1017,,,40,6.55,259,,,,,,0,800,Clear,sky is clear,01d
284202000,1979-01-03 09:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,49.08,,34.52,46.78,48.42,49.42,1017,,,57,5.64,249,,,,,,0,800,Clear,sky is clear,01d
284205600,1979-01-03 10:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,43.05,,30.7,39.2,42.6,43.74,1017,,,61,6.33,242,,,,,,0,800,Clear,sky is clear,01n
284209200,1979-01-03 11:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,43.56,,30.04,39.34,42.71,44.67,1017,,,58,7.14,249,,,,,,0,800,Clear,sky is clear,01n
284212800,1979-01-03 12:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,43.52,,29.62,39.06,42.31,44.91,1017,,,57,7.63,252,,,,,,0,800,Clear,sky is clear,01n
284216400,1979-01-03 13:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,43.65,,28.96,39.07,42.46,45.07,1018,,,55,7.9,254,,,,,,0,800,Clear,sky is clear,01n
284220000,1979-01-03 14:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,43.47,,28.42,38.64,42.17,44.78,1018,,,54,8.34,255,,,,,,0,800,Clear,sky is clear,01n
284223600,1979-01-03 15:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,41.25,,29.21,35.89,39.85,42.4,1017,,,61,8.46,255,,,,,,0,800,Clear,sky is clear,01n
284227200,1979-01-03 16:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,41.4,,29.34,35.96,39.97,42.35,1017,,,61,8.68,257,,,,,,0,800,Clear,sky is clear,01n
284230800,1979-01-03 17:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,41.7,,29.59,36.09,40.24,42.53,1017,,,61,9.22,265,,,,,,0,800,Clear,sky is clear,01n
284234400,1979-01-03 18:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,42.08,,29.89,36.27,40.64,42.75,1017,,,61,9.89,269,,,,,,0,800,Clear,sky is clear,01n
284238000,1979-01-03 19:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,42.21,,30,36.32,40.8,42.73,1017,,,61,10.13,270,,,,,,0,800,Clear,sky is clear,01n
284241600,1979-01-03 20:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,42.55,,29.93,36.63,41.29,43.23,1017,,,60,10.45,272,,,,,,0,800,Clear,sky is clear,01n
284245200,1979-01-03 21:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,40.71,,28.4,34.29,39.83,41.5,1017,,,60,10.56,273,,,,,,0,800,Clear,sky is clear,01n
284248800,1979-01-03 22:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,40.86,,29.23,34.3,40.28,41.79,1016,,,62,11.01,274,,,,,,0,800,Clear,sky is clear,01n
284252400,1979-01-03 23:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,41.04,,29.37,34.43,40.19,41.92,1017,,,62,11.25,276,,,,,,0,800,Clear,sky is clear,01n
284256000,1979-01-04 00:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,40.89,,29.26,34.07,39.81,41.67,1017,,,62,11.7,276,,,,,,0,800,Clear,sky is clear,01d
284259600,1979-01-04 01:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,40.48,,28.56,33.3,38.89,41.65,1018,,,61,12.41,278,,,,,,0,800,Clear,sky is clear,01d
284263200,1979-01-04 02:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,43.41,,31.01,37.06,41.49,45.27,1019,,,61,12.24,279,,,,,,0,800,Clear,sky is clear,01d
284266800,1979-01-04 03:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,59.83,,29.5,56.97,58.3,61.74,1019,,,31,12.8,284,,,,,,0,800,Clear,sky is clear,01d
284270400,1979-01-04 04:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,59.49,,29.23,56.59,58.39,61.14,1018,,,31,13.56,287,,,,,,0,800,Clear,sky is clear,01d
284274000,1979-01-04 05:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,58.73,,27.95,55.71,58.01,60.04,1017,,,30,14.05,290,,,,,,0,800,Clear,sky is clear,01d
284277600,1979-01-04 06:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,59.47,,29.21,56.57,58.8,60.6,1017,,,31,13.29,294,,,,,,0,800,Clear,sky is clear,01d
284281200,1979-01-04 07:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,59.2,,30.36,56.37,58.59,60.22,1017,,,33,11.7,298,,,,,,0,800,Clear,sky is clear,01d
284284800,1979-01-04 08:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,58.62,,31.19,55.83,58.05,59.5,1018,,,35,8.16,300,,,,,,0,800,Clear,sky is clear,01d
284288400,1979-01-04 09:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,51.28,,33.3,48.45,50.09,51.93,1018,,,50,4.83,311,,,,,,0,800,Clear,sky is clear,01d
284292000,1979-01-04 10:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,44.49,,31.55,42.67,42.96,45.5,1019,,,60,3.8,319,,,,,,0,800,Clear,sky is clear,01n
284295600,1979-01-04 11:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,45.01,,30.87,42.24,44.06,45.93,1020,,,57,5.17,338,,,,,,0,800,Clear,sky is clear,01n
284299200,1979-01-04 12:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,43.16,,31.86,40.69,41.99,44.94,1021,,,64,4.34,13,,,,,,2,800,Clear,sky is clear,01n
284302800,1979-01-04 13:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,42.26,,31.77,39.63,41.27,43.88,1022,,,66,4.34,22,,,,,,2,800,Clear,sky is clear,01n
284306400,1979-01-04 14:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,42.31,,32.16,40.03,41.27,43.99,1023,,,67,3.96,9,,,,,,6,800,Clear,sky is clear,01n
284310000,1979-01-04 15:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,34.56,,29.1,30.87,33.91,36.01,1023,,,79,4.16,10,,,,,,0,800,Clear,sky is clear,01n
284313600,1979-01-04 16:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,34.56,,29.1,31.05,33.82,36.36,1023,,,79,3.98,11,,,,,,0,800,Clear,sky is clear,01n
284317200,1979-01-04 17:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,35.29,,28.9,35.29,34,37.51,1023,,,76,2.93,6,,,,,,0,800,Clear,sky is clear,01n
284320800,1979-01-04 18:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,35.17,,29.08,35.17,33.84,37.53,1024,,,77,2.06,355,,,,,,0,800,Clear,sky is clear,01n
284324400,1979-01-04 19:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,35.22,,29.41,35.22,33.85,37.65,1024,,,78,1.32,341,,,,,,0,800,Clear,sky is clear,01n
284328000,1979-01-04 20:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,35.76,,29.88,35.76,34.45,37.49,1024,,,78,0.56,135,,,,,,0,800,Clear,sky is clear,01n
284331600,1979-01-04 21:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,33.03,,28.06,33.03,31.59,34.2,1024,,,80,2.21,89,,,,,,0,800,Clear,sky is clear,01n
284335200,1979-01-04 22:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,30.29,,27.54,30.29,28.6,32.52,1024,,,88,2.64,116,,,,,,0,800,Clear,sky is clear,01n
284338800,1979-01-04 23:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,28.18,,26.17,28.18,26.8,29.08,1024,,,91,2.55,118,,,,,,0,800,Clear,sky is clear,01n
284342400,1979-01-05 00:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,27.28,,25.74,27.28,26.1,28.47,1025,,,93,1.83,108,,,,,,0,800,Clear,sky is clear,01d
284346000,1979-01-05 01:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,28.4,,26.15,28.4,26.6,30.36,1025,,,90,1.34,114,,,,,,0,800,Clear,sky is clear,01d
284349600,1979-01-05 02:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,29.07,,25.83,29.07,27.21,31.01,1026,,,86,1.72,113,,,,,,0,800,Clear,sky is clear,01d
284353200,1979-01-05 03:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,47.48,,31.73,47.48,45.93,48.83,1026,,,54,2.21,125,,,,,,0,800,Clear,sky is clear,01d
284356800,1979-01-05 04:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,47.59,,29.7,47.59,46.26,48.6,1024,,,49,2.62,150,,,,,,0,800,Clear,sky is clear,01d
284360400,1979-01-05 05:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,47.77,,29.41,46.29,46.67,48.43,1023,,,48,4,165,,,,,,0,800,Clear,sky is clear,01d
284364000,1979-01-05 06:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,48,,29.59,45.59,47.07,48.43,1022,,,48,5.46,174,,,,,,0,800,Clear,sky is clear,01d
284367600,1979-01-05 07:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,48.06,,30.07,45.05,47.26,48.49,1021,,,49,6.58,179,,,,,,0,800,Clear,sky is clear,01d
284371200,1979-01-05 08:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,48.11,,29.68,45.12,47.43,48.51,1021,,,48,6.55,178,,,,,,0,800,Clear,sky is clear,01d
284374800,1979-01-05 09:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,46.08,,32.14,43.88,45.28,46.49,1020,,,58,4.61,164,,,,,,0,800,Clear,sky is clear,01d
284378400,1979-01-05 10:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,40.05,,30.54,35.89,39.58,40.35,1021,,,68,5.88,169,,,,,,0,800,Clear,sky is clear,01n
284382000,1979-01-05 11:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,39.96,,30.15,34.97,39.42,40.6,1020,,,67,7.2,179,,,,,,0,800,Clear,sky is clear,01n
284385600,1979-01-05 12:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,39.74,,29.97,34.92,38.93,40.57,1021,,,67,6.85,188,,,,,,0,800,Clear,sky is clear,01n
284389200,1979-01-05 13:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,39.85,,31.32,35.24,38.86,40.59,1021,,,71,6.53,191,,,,,,23,801,Clouds,few clouds,02n
284392800,1979-01-05 14:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,40.46,,31.53,35.82,38.95,41.49,1020,,,70,6.8,193,,,,,,67,803,Clouds,broken clouds,04n
284396400,1979-01-05 15:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,36.07,,30.69,30.85,34.09,37.58,1020,,,80,6.33,197,,,,,,85,804,Clouds,overcast clouds,04n
284400000,1979-01-05 16:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,35.64,,30.85,30.74,33.39,37.45,1019,,,82,5.75,202,,,,,,94,804,Clouds,overcast clouds,04n
284403600,1979-01-05 17:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,35.02,,31.1,30.31,32.58,37.08,1019,,,85,5.39,209,,,,,,92,804,Clouds,overcast clouds,04n
284407200,1979-01-05 18:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,34.36,,30.78,29.55,32.14,36.36,1018,,,86,5.35,217,,,,,,95,804,Clouds,overcast clouds,04n
284410800,1979-01-05 19:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,33.89,,30.63,28.81,32.11,35.73,1018,,,87,5.57,220,,,,,,94,804,Clouds,overcast clouds,04n
284414400,1979-01-05 20:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,33.44,,29.98,27.9,32.11,35.08,1017,,,86,6.06,221,,,,,,100,804,Clouds,overcast clouds,04n
284418000,1979-01-05 21:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,34.68,,31.57,28.92,33.87,35.76,1016,,,88,6.71,221,,,,,,99,804,Clouds,overcast clouds,04n
284421600,1979-01-05 22:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,34.29,,29.16,28.15,33.58,34.81,1015,,,80,7.16,228,,,,,,96,804,Clouds,overcast clouds,04n
284425200,1979-01-05 23:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,35.22,,28.85,28.69,34.57,35.69,1016,,,76,8.14,248,,,,,,99,804,Clouds,overcast clouds,04n
284428800,1979-01-06 00:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,37.38,,29.23,30.15,36.46,38.25,1016,,,71,10.58,253,,,,,,59,803,Clouds,broken clouds,04d
284432400,1979-01-06 01:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,39.51,,30.42,31.78,38.73,40.19,1016,,,69,13.2,260,,,,,,5,800,Clear,sky is clear,01d
284436000,1979-01-06 02:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,43.41,,32.45,36.57,42.53,44.6,1017,,,65,13.78,266,,,,,,0,800,Clear,sky is clear,01d
284439600,1979-01-06 03:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,62.69,,29.48,59.97,61.12,64.4,1017,,,28,15.37,271,,,,,,0,800,Clear,sky is clear,01d
284443200,1979-01-06 04:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,61.92,,27.3,59.04,60.85,63.63,1016,,,26,16.58,276,,,,,,0,800,Clear,sky is clear,01d
284446800,1979-01-06 05:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,61.95,,26.49,59.02,61.12,63.21,1015,,,25,17.76,278,,,,,,0,800,Clear,sky is clear,01d
284450400,1979-01-06 06:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,61.9,,25.57,58.91,61.21,63.01,1015,,,24,19.13,279,,,,,,0,800,Clear,sky is clear,01d
284454000,1979-01-06 07:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,61.41,,25.21,58.39,60.73,62.62,1015,,,24,17.94,283,,,,,,0,800,Clear,sky is clear,01d
284457600,1979-01-06 08:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,61.07,,24.06,57.96,60.42,62.2,1016,,,23,16.46,296,,,,,,0,800,Clear,sky is clear,01d
284461200,1979-01-06 09:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,55.76,,24.93,52.39,55.08,56.8,1018,,,29,13.58,309,,,,,,0,800,Clear,sky is clear,01d
284464800,1979-01-06 10:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,52.59,,24.57,49.06,51.67,53.46,1018,,,32,6.35,314,,,,,,0,800,Clear,sky is clear,01n
284468400,1979-01-06 11:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,50.02,,25.03,46.42,49.41,50.76,1020,,,36,5.95,324,,,,,,0,800,Clear,sky is clear,01n
284472000,1979-01-06 12:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,48.96,,24.78,46.49,47.5,50.45,1021,,,37,5.88,318,,,,,,0,800,Clear,sky is clear,01n
284475600,1979-01-06 13:00:00 +0000 UTC,28800,Zhengzhou,34.74725,113.62493,48.79,,26.31,45.73,47.32,49.91,1022,,,40,7,304,,,,,,0,800,Clear,sky is clear,01n
